lang_code,lang_name,script,n_docs,n_words,n_tokens,fertility,continuation_rate,bytes_per_token,unk_rate,vocab_coverage,nsl,avg_token_len,grade,model
gom,Konkani,Devanagari,1000,225010,707664,3.145,0.916,4.6095,0.0,0.0,1.1293,4.2958,🟠 Marginal,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
guj,Gujarati,Gujarati,1000,247691,877464,3.5426,0.9589,4.2641,0.0,0.0,1.3073,3.9851,🟠 Marginal,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
hin,Hindi,Devanagari,1000,288123,562789,1.9533,0.729,6.6298,0.0,0.0,0.9543,6.1229,🟡 Good,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
kan,Kannada,Kannada,1000,168714,634458,3.7606,0.9618,5.6902,0.0,0.0,1.3156,5.4277,🟠 Marginal,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
kas,Kashmiri,Perso-Arabic,297,59847,118461,1.9794,0.639,4.6584,0.0,0.0,0.9707,4.1629,🟡 Good,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
mai,Maithili,Devanagari,1000,246983,616340,2.4955,0.8139,4.9934,0.0,0.0,1.0865,4.5989,🟡 Good,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
mal,Malayalam,Malayalam,1000,136745,656291,4.7994,0.9853,5.5633,0.0,0.0,1.6387,5.3584,🔴 Poor,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
mar,Marathi,Devanagari,1000,216961,682192,3.1443,0.9295,5.7635,0.0,0.0,1.1741,5.4484,🟠 Marginal,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
mni,Manipuri,Bengali,1000,242851,1003505,4.1322,0.919,3.9177,0.0,0.0,1.2263,3.6715,🔴 Poor,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
nep,Nepali,Devanagari,1000,201427,607090,3.0139,0.8932,5.7103,0.0,0.0,1.1921,5.3826,🟠 Marginal,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
ori,Odia,Odia,1000,187103,3113854,16.6425,0.9454,1.0159,0.0,0.0,3.3576,0.9565,🔴 Poor,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
pan,Punjabi,Gurmukhi,1000,283018,880471,3.111,0.9152,4.1204,0.0,0.0,1.1634,3.8023,🟠 Marginal,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
san,Sanskrit,Devanagari,1000,210223,882029,4.1957,0.7955,5.2324,0.0,0.0,1.1447,4.9977,🔴 Poor,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
sat,Santali,Ol Chiki,110,21156,261637,12.367,0.9569,1.1049,0.0,0.0,3.5575,1.0247,🔴 Poor,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
snd,Sindhi,Perso-Arabic,1000,315919,823828,2.6077,0.7626,3.1298,0.0,0.0,1.1557,2.7393,🟠 Marginal,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
tam,Tamil,Tamil,1000,158190,585701,3.7025,0.9701,6.4607,0.0,0.0,1.4541,6.196,🟠 Marginal,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
tel,Telugu,Telugu,1000,179998,697782,3.8766,0.9531,5.4038,0.0,0.0,1.3392,5.1494,🟠 Marginal,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
urd,Urdu,Perso-Arabic,1000,319560,536109,1.6776,0.6939,4.8067,0.0,0.0,0.9321,4.2129,🟡 Good,nvidia_nvidia_nemotron_3_nano_30b_a3b_bf
asm,Assamese,Assamese,1000,201352,537711,2.6705,0.8647,6.0916,0.0,0.8125,0.8337,2.0553,🟠 Marginal,sarvamai_sarvam_30b
ben,Bengali,Bengali,1000,222386,376909,1.6948,0.7234,10.1361,0.0,0.8125,0.6336,3.2559,🟡 Good,sarvamai_sarvam_30b
brx,Bodo,Devanagari,1000,180480,549738,3.046,0.8635,5.8881,0.0,0.7656,0.9753,1.9495,🟠 Marginal,sarvamai_sarvam_30b
doi,Dogri,Devanagari,54,6775,11196,1.6525,0.477,6.7003,0.0,0.7656,0.813,2.7937,🟡 Good,sarvamai_sarvam_30b
eng,English,Latin,1000,263744,351438,1.3325,0.2668,4.5141,0.0,1.0,0.8567,3.7292,🟢 Excellent,sarvamai_sarvam_30b
gom,Konkani,Devanagari,1000,225010,596014,2.6488,0.8601,5.473,0.0,0.7656,0.9511,2.288,🟠 Marginal,sarvamai_sarvam_30b
guj,Gujarati,Gujarati,1000,247691,493456,1.9922,0.7826,7.5824,0.0,0.8681,0.7352,2.4522,🟡 Good,sarvamai_sarvam_30b
hin,Hindi,Devanagari,1000,288123,392513,1.3623,0.4997,9.5058,0.0,0.7656,0.6655,3.0232,🟢 Excellent,sarvamai_sarvam_30b
kan,Kannada,Kannada,1000,168714,425145,2.5199,0.8566,8.4916,0.0,0.8352,0.8816,2.8086,🟠 Marginal,sarvamai_sarvam_30b
kas,Kashmiri,Perso-Arabic,297,59847,102501,1.7127,0.5492,5.3837,0.0,0.6719,0.8399,2.529,🟡 Good,sarvamai_sarvam_30b
mai,Maithili,Devanagari,1000,246983,469796,1.9021,0.6915,6.551,0.0,0.7656,0.8281,2.2569,🟡 Good,sarvamai_sarvam_30b
mal,Malayalam,Malayalam,1000,136745,407547,2.9803,0.9062,8.9588,0.0,0.7203,1.0176,2.9503,🟠 Marginal,sarvamai_sarvam_30b
mar,Marathi,Devanagari,1000,216961,423253,1.9508,0.8506,9.2896,0.0,0.7656,0.7285,3.0314,🟡 Good,sarvamai_sarvam_30b
mni,Manipuri,Bengali,1000,242851,742030,3.0555,0.8673,5.2982,0.0,0.8125,0.9068,2.0039,🟠 Marginal,sarvamai_sarvam_30b
nep,Nepali,Devanagari,1000,201427,413284,2.0518,0.8054,8.3881,0.0,0.7656,0.8115,2.6666,🟡 Good,sarvamai_sarvam_30b
ori,Odia,Odia,1000,187103,356470,1.9052,0.7272,8.8742,0.0,0.9011,0.3844,2.8327,🟡 Good,sarvamai_sarvam_30b
pan,Punjabi,Gurmukhi,1000,283018,464704,1.642,0.6441,7.8069,0.0,0.975,0.614,2.4989,🟡 Good,sarvamai_sarvam_30b
san,Sanskrit,Devanagari,1000,210223,695332,3.3076,0.7506,6.6373,0.0,0.7656,0.9024,2.1696,🟠 Marginal,sarvamai_sarvam_30b
sat,Santali,Ol Chiki,110,21156,42839,2.0249,0.6853,6.7484,0.0,1.0,0.5825,2.1796,🟡 Good,sarvamai_sarvam_30b
snd,Sindhi,Perso-Arabic,1000,315919,663075,2.0989,0.7009,3.8886,0.0,0.6719,0.9302,1.7614,🟡 Good,sarvamai_sarvam_30b
tam,Tamil,Tamil,1000,158190,385602,2.4376,0.8884,9.8134,0.0,0.75,0.9573,3.2565,🟡 Good,sarvamai_sarvam_30b
tel,Telugu,Telugu,1000,179998,469308,2.6073,0.8368,8.0346,0.0,0.74,0.9007,2.6543,🟠 Marginal,sarvamai_sarvam_30b
urd,Urdu,Perso-Arabic,1000,319560,465361,1.4563,0.5678,5.5375,0.0,0.6719,0.8091,2.4517,🟢 Excellent,sarvamai_sarvam_30b
